Player,Pos,FG%,3P%,2P%,eFG%,PS/G
Phil Pressey,PG,0.368,0.246,0.44,0.414,3.5
A.J. Price,PG,0.372,0.263,0.45,0.427,5.1
Ronnie Price,PG,0.345,0.284,0.404,0.415,5.1
Pablo Prigioni,PG,0.399,0.343,0.548,0.524,4.1
Tayshaun Prince,SF,0.44,0.463,0.436,0.479,7.5
Miroslav Raduljica,C,0.375,,0.375,0.375,1.6
Julius Randle,PF,0.333,,0.333,0.333,2
Shavlik Randolph,PF,0.257,0,0.3,0.257,1.1
Zach Randolph,PF,0.487,0.35,0.49,0.491,16.1
J.J. Redick,SG,0.477,0.437,0.515,0.583,16.4
Glen Rice,SG,0.2,0.143,0.25,0.233,2.2
Jason Richardson,SG,0.348,0.323,0.378,0.435,9.1
Luke Ridnour,PG,0.426,0.317,0.487,0.483,4
Austin Rivers,PG-SG,0.409,0.298,0.449,0.449,7
Andre Roberson,SG,0.458,0.247,0.612,0.51,3.4
Brian Roberts,PG,0.389,0.321,0.44,0.458,6.7
Glenn Robinson,SG-SF,0.388,0.263,0.438,0.425,2.1
Nate Robinson,PG,0.345,0.277,0.399,0.406,5.7
Thomas Robinson,PF,0.485,0,0.488,0.485,5.7
Rajon Rondo,PG,0.426,0.314,0.444,0.447,8.9
Derrick Rose,PG,0.405,0.28,0.465,0.45,17.7
Terrence Ross,SF,0.41,0.372,0.452,0.507,9.8
Ricky Rubio,PG,0.356,0.255,0.387,0.386,10.3
Damjan Rudez,SF,0.452,0.406,0.538,0.584,4.8
Brandon Rush,SG,0.204,0.111,0.296,0.231,0.9
Robert Sacre,C,0.412,0,0.413,0.412,4.6
John Salmons,SF,0.333,0.308,0.364,0.417,2
JaKarr Sampson,SF,0.422,0.244,0.525,0.467,5.2
Larry Sanders,C,0.5,,0.5,0.5,7.3
Dennis Schroder,PG,0.427,0.351,0.449,0.466,10
Luis Scola,PF,0.467,0.25,0.474,0.471,9.4
Mike Scott,PF,0.444,0.344,0.517,0.517,7.8
Thabo Sefolosha,SF,0.418,0.321,0.462,0.468,5.3
Kevin Seraphin,C,0.513,0,0.516,0.513,6.6
Ramon Sessions,PG,0.374,0.317,0.387,0.403,6.3
Iman Shumpert,SG,0.41,0.342,0.458,0.481,8
Alexey Shved,SG,0.397,0.338,0.439,0.467,10.3
Henry Sims,C,0.474,0.182,0.488,0.478,8
Kyle Singler,SF,0.386,0.398,0.371,0.493,6
Donald Sloan,PG,0.408,0.313,0.464,0.466,7.4
Marcus Smart,PG,0.367,0.335,0.41,0.462,7.8
Greg Smith,PF,0.612,,0.612,0.612,1.9
Ish Smith,PG,0.39,0.3,0.407,0.414,6.1
J.R. Smith,SG,0.417,0.383,0.462,0.525,12.1
Jason Smith,C,0.434,0.357,0.44,0.447,8
Josh Smith,PF,0.419,0.316,0.451,0.456,12.4
Russ Smith,PG,0.32,0.182,0.429,0.36,2.5
Tony Snell,SF,0.429,0.371,0.494,0.527,6
Marreese Speights,C,0.492,0.278,0.498,0.496,10.4
Tiago Splitter,C,0.558,,0.558,0.558,8.2
Nik Stauskas,SG,0.365,0.322,0.408,0.446,4.4
Lance Stephenson,SG,0.376,0.171,0.425,0.393,8.2
Greg Stiemsma,C,0.75,,0.75,0.75,0.8
David Stockton,PG,0.333,0.5,0.25,0.417,2.7
Jarnell Stokes,PF,0.568,,0.568,0.568,3
Amar'e Stoudemire,PF,0.557,0,0.562,0.557,11.5
Rodney Stuckey,PG,0.44,0.39,0.452,0.477,12.6
Jared Sullinger,PF,0.439,0.283,0.494,0.476,13.3
Jeffery Taylor,SF,0.395,0.306,0.436,0.443,4.4
Jeff Teague,PG,0.46,0.343,0.496,0.5,15.9
Mirza Teletovic,PF,0.382,0.321,0.476,0.48,8.5
Sebastian Telfair,PG,0.368,0.3,0.431,0.44,8.4
Garrett Temple,SG,0.4,0.375,0.427,0.497,3.9
Jason Terry,SG,0.422,0.39,0.504,0.563,7
Isaiah Thomas,PG,0.42,0.373,0.457,0.501,16.4
Lance Thomas,PF-SF,0.412,0.318,0.417,0.42,7.1
Malcolm Thomas,PF,0.45,0,0.545,0.45,2.6
Tyrus Thomas,PF,1,,1,1,2
Hollis Thompson,SG,0.413,0.401,0.426,0.518,8.8
Jason Thompson,PF,0.47,0,0.471,0.47,6.1
Klay Thompson,SG,0.463,0.439,0.481,0.555,21.7
